Car Name with Year,Price,Mileage,Model Year,Value Score,Location (km),Link
2025 RAV4 XLE AWDXLE Premium AWD,42187.0,725.0,2025,100.0,75,https://certifiedtoyota.ca/en/vehicle-details.a59245e0db3292960c7991c674f3cb32014b8e1ebe17cc98de5aac4828a802313c1127e145c8efb0ac91fc1d2056f7c7.html
2024 RAV4 LE AWDStandard Package,35499.0,13124.0,2024,91.53665558177735,47,https://certifiedtoyota.ca/en/vehicle-details.371c1823d4096504e971161046a0716a6b52beac9ef030263f918128434497a1340c633fb91bd385a8dc007b86c3e279.html
2024 RAV4 LE AWDStandard Package,35500.0,17295.0,2024,89.01811202781205,33,https://certifiedtoyota.ca/en/vehicle-details.0fb575786b48977739570322889566c03d3f1fd2e72fa2c64b2e968e2781ceeec1625a5efb6f7124adfcfe03f7a8bf3b.html
2024 RAV4 LE AWDStandard Package,35299.0,20599.0,2024,87.26665902191334,37,https://certifiedtoyota.ca/en/vehicle-details.ac3de7c92866e2af19eaa41db84ae6d63e38add34b3145b1d47125363a05b542bce2df6eca84af3d719de7e6c6d35e91.html
2024 RAV4 XLE AWDXLE Premium AWD,41687.0,10563.0,2024,85.6129783754094,75,https://certifiedtoyota.ca/en/vehicle-details.d43cd336fe98b1a45fc942cf98129ee0172aca12f028a7bad44ac0d5f72eebf2b1896a1779ee531cdc329ec723c1cbdd.html
2024 RAV4 XLE AWDStandard Package,39982.5,16465.0,2024,84.10837040032358,36,https://certifiedtoyota.ca/en/vehicle-details.11fbc8ddfb0a374c35722a3b05bed5956911e1b1835098fb83dc56283825d6ee24260ff34c69d022bec9dae590ccfef8.html
2023 RAV4 LE AWDStandard Package,34188.0,13060.0,2023,84.10474920182848,14,https://certifiedtoyota.ca/en/vehicle-details.84a4ae0cfe982df0ce41d8233be2b95a9d043507ec8f3109b4c66dd331660f7e6cc532dbfa4069eaaf619acbae2a8e2e.html
2024 RAV4 XLE AWDStandard Package,40800.0,14880.0,2024,84.07819374619237,64,https://certifiedtoyota.ca/en/vehicle-details.2f0d7be9d5c2661a5b5a8e934ed6f32ee2be2d8eb5e984b42c04eb92d5cf44b17ba4c2cae7e8961201fbbe5f7fa9112f.html
2024 RAV4 XLE AWDStandard Package,40800.0,16886.0,2024,82.86750638236379,64,https://certifiedtoyota.ca/en/vehicle-details.b2d30a697f1e12ede319d03a378f9fc4da12000d19a5b1011878bbbfb2d88c5d9e7fed4fe362607b7b6b8b30677903c9.html
2023 RAV4 XLE AWDStandard Package,36800.0,10774.0,2023,82.33156900495375,19,https://certifiedtoyota.ca/en/vehicle-details.7175d9ab1f4195262758574911c5a325ef6f9e505d698a4b9d7e2539c5a0a406ddfe0ff396601dbabb3a5c64dd4e55e0.html
2024 RAV4 XLE AWDStandard Package,40034.5,21445.0,2024,81.04000820805179,78,https://certifiedtoyota.ca/en/vehicle-details.69a29b1efb5015b5bd233dbee93fb7221da7a6b1f0efe6b87dfeebfff6c64d31450dca6836e2bb268a83e2536ef5e0af.html
2022 RAV4 LE FWDStandard Package,33998.0,6673.0,2022,79.13586133223986,180,https://certifiedtoyota.ca/en/vehicle-details.e2506944678a8e144f4d802d931538e32b1f6b02cbaf33f9a5dced8c50e549c65198bc5201a7b5d0be30ecab419cb1d9.html
2024 RAV4 LE AWDStandard Package,35998.0,33927.0,2024,78.37903084657741,180,https://certifiedtoyota.ca/en/vehicle-details.00010b867bdbb14e42bc3e45185a7a89725b15f364bdef21207b07d8f7f3cee94fb055773848ae7adb28ce2be4856d52.html
2024 RAV4 LE AWDStandard Package,34794.0,40484.0,2024,75.87497208659519,47,https://certifiedtoyota.ca/en/vehicle-details.07720bd830e6e4268d3b1dc02f7cf0459082254fdd08aff0b31a45a1f120cba3010e4f70749eb8402f6a659ca502cabc.html
2024 RAV4 XLE AWDStandard Package,37982.5,34811.0,2024,75.450084796398,161,https://certifiedtoyota.ca/en/vehicle-details.14fdc1a5612509b8c3afa1d15a3abb536af488c0894d2ce5b59820eb0a9324259cc46b125c8c01a05a404acf42ec7a8d.html
2023 RAV4 LE AWDStandard Package,36081.5,24146.0,2023,75.12840166333686,48,https://certifiedtoyota.ca/en/vehicle-details.a3a47c6aa25e63d4213d3048e7560c3f3d37e5e6bc6d025c61fb78a9303b12ef1830b8042579cfaf6cf813362b63d74a.html
