Car Name,Price,Mileage,Transmission,Location,Link
2020 RAV4 Hybrid Limited AWDRAV4 Hybrid Limited,"$31,998","73,500 km",Automatic,"6  km away  Downtown Toyota, Toronto, ON",https://certifiedtoyota.ca/en/vehicle-details.7e8a4781dafac2e5af17841c628f16b590dad57c851e865293eda06f7700f51407e5af0d7d38ba9de33d3416830ab6fa.html
2020 RAV4 LE FWDStandard Package,"$26,998","72,529 km",Automatic,"6  km away  Downtown Toyota, Toronto, ON",https://certifiedtoyota.ca/en/vehicle-details.cada31e8d003da90735dd98f63b2bff7673ba15aaf9db80c0de4dfef2ed6aaa891e8d9985e1a9627f5a9b1808b2b864a.html
2020 RAV4 Hybrid LE AWDStandard Package,"$32,998","117,948 km",Automatic,"6  km away  Downtown Toyota, Toronto, ON",https://certifiedtoyota.ca/en/vehicle-details.6cf3671b4450677acdc9cc1fb13bd03de58fa06ad8aedfbf96f156f3be80aeef16694662c6f78cc2a5f66dc20041979b.html
2020 RAV4 LE FWDStandard Package,"$27,588","82,749 km",Automatic,"6  km away  Downtown Toyota, Toronto, ON",https://certifiedtoyota.ca/en/vehicle-details.5e62cf7e43757649e0bd07197ecbcb7bf7fa93ac47b64c3f94872bf4acffb03f163db7c076cb7ac0853af8150c60e4e0.html
2020 RAV4 XLE AWDStandard Package,"$36,998","15,200 km",Automatic,"6  km away  Downtown Toyota, Toronto, ON",https://certifiedtoyota.ca/en/vehicle-details.f71f8b60ae1f31d383b7051b3559f167c915176f06fdf3d6392d6c28045f6eb6d381c8f0c005e0c1bd1561651b5019b1.html
2021 RAV4 Hybrid XLE AWDStandard Package,"$31,998","115,647 km",Automatic,"6  km away  Downtown Toyota, Toronto, ON",https://certifiedtoyota.ca/en/vehicle-details.ea3d49b2d766270039f85a1fb2c31a41d082a2c93199a9209f3a9a23e94b42a30f62573200a4eb8e2d1c7f2ff55aef4a.html
2021 RAV4 Hybrid XLE AWDXSE Technology Package,"$38,998","49,050 km",Automatic,"6  km away  Downtown Toyota, Toronto, ON",https://certifiedtoyota.ca/en/vehicle-details.f0070bb1917ead6a254ccf303a56f84b0123d0c83ef52bfe0612c984b850addefb239d0f4503969e2bdd17e776e998a2.html
2021 RAV4 XLE AWDXLE Premium AWD,"$31,588","104,087 km",Automatic,"6  km away  Downtown Toyota, Toronto, ON",https://certifiedtoyota.ca/en/vehicle-details.87941e31625bf97478880937f5b2bfba32dc5e02c0abdafac5d296ddefb9ac1708648371e194aeb696cfe998de72f208.html
2021 RAV4 XLE AWDStandard Package,"$35,998","15,552 km",Automatic,"6  km away  Downtown Toyota, Toronto, ON",https://certifiedtoyota.ca/en/vehicle-details.1045e99bd4be91659286aeb2ee731d1d8df720071ace8e0dd918464bf106d83a3c0f493a5599b6b7d2038495296d99b4.html
2022 RAV4 LE AWDStandard Package,"$33,998","19,360 km",Automatic,"6  km away  Downtown Toyota, Toronto, ON",https://certifiedtoyota.ca/en/vehicle-details.6cffcbe4ccd0e042cdee61973e3ac3c620b15c6fbd1e3e815d00a6868836161a527612251bc89d45577a89b12e5e3754.html
2022 RAV4 XLE AWDXLE Premium AWD,"$37,998","29,381 km",Automatic,"6  km away  Downtown Toyota, Toronto, ON",https://certifiedtoyota.ca/en/vehicle-details.97e6037a0b8b0bcd91947375a1df9f82de2d916315c2d0f9e082a0844cf7876ba314eba3cc5ed8ea95491f9537200a5e.html
2023 RAV4 Trail AWDRAV4 Trail AWD - Premium Colour,"$43,998","36,658 km",Automatic,"6  km away  Downtown Toyota, Toronto, ON",https://certifiedtoyota.ca/en/vehicle-details.426ee8219d5176ba2fd9b29f0502791e7d020facaea8f560350e1343b8df5c9d5d083ba5ae6c2bd318c12f4a6f970987.html
2023 RAV4 XLE AWDStandard Package,"$39,998","17,600 km",Automatic,"6  km away  Downtown Toyota, Toronto, ON",https://certifiedtoyota.ca/en/vehicle-details.454a11c54722275592c43c7cc84653fa80c1af28366e7f93295f72ac70975f780c34c9d07d29944c5763f0a44ea9822b.html
2020 RAV4 Trail AWDRAV4 Trail AWD,"$32,588","76,285 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.b5c85baeaf5a9e5903a14727e672b2afd46014a88100452bf1c586d81ed81af3f4d59b38548d81551e369c676958d40e.html
2021 RAV4 Hybrid XLE AWDStandard Package,"$39,588","27,358 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.2a0834e0ab4c3d94d4a9bd4a1769b073f4275b951ef9dbba0f8cc1a9ef149fd1a2a3b99b27c5ae0d8d3d7c3054eb08b6.html
2021 RAV4 Limited AWDStandard Package,"$37,188","51,487 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.4a041d008355cf1e052377face178b3336ca581041bb275b822cd2563689089e7dbc19bba406c481cb6892dd703477c2.html
